date,region,state,cases,deaths
2020-02-26,Sudeste,São Paulo,1,0
2020-02-27,Sudeste,São Paulo,1,0
2020-02-28,Sudeste,São Paulo,1,0
2020-02-29,Sudeste,São Paulo,2,0
2020-03-01,Sudeste,São Paulo,2,0
2020-03-02,Sudeste,São Paulo,2,0
2020-03-03,Sudeste,São Paulo,2,0
2020-03-04,Sudeste,São Paulo,3,0
2020-03-05,Sudeste,Rio de Janeiro,1,0
2020-03-05,Sudeste,São Paulo,6,0
2020-03-06,Nordeste,Bahia,1,0
2020-03-06,Sudeste,Espírito Santo,1,0
2020-03-06,Sudeste,Rio de Janeiro,1,0
2020-03-06,Sudeste,São Paulo,10,0
2020-03-07,Centro-Oeste,Distrito Federal,1,0
2020-03-07,Nordeste,Bahia,2,0
2020-03-07,Sudeste,Espírito Santo,1,0
2020-03-07,Sudeste,Rio de Janeiro,2,0
2020-03-07,Sudeste,São Paulo,13,0
2020-03-08,Centro-Oeste,Distrito Federal,1,0
2020-03-08,Nordeste,Alagoas,1,0
2020-03-08,Nordeste,Bahia,2,0
2020-03-08,Sudeste,Espírito Santo,1,0
2020-03-08,Sudeste,Minas Gerais,1,0
2020-03-08,Sudeste,Rio de Janeiro,3,0
2020-03-08,Sudeste,São Paulo,16,0
2020-03-09,Centro-Oeste,Distrito Federal,1,0
2020-03-09,Nordeste,Alagoas,1,0
2020-03-09,Nordeste,Bahia,2,0
2020-03-09,Sudeste,Espírito Santo,1,0
2020-03-09,Sudeste,Minas Gerais,1,0
2020-03-09,Sudeste,Rio de Janeiro,3,0
2020-03-09,Sudeste,São Paulo,16,0
2020-03-10,Centro-Oeste,Distrito Federal,1,0
2020-03-10,Nordeste,Alagoas,1,0
2020-03-10,Nordeste,Bahia,2,0
2020-03-10,Sudeste,Espírito Santo,1,0
2020-03-10,Sudeste,Minas Gerais,1,0
2020-03-10,Sudeste,Rio de Janeiro,8,0
2020-03-10,Sudeste,São Paulo,19,0
2020-03-10,Sul,Rio Grande do Sul,1,0
2020-03-11,Centro-Oeste,Distrito Federal,2,0
2020-03-11,Nordeste,Alagoas,1,0
2020-03-11,Nordeste,Bahia,2,0
2020-03-11,Sudeste,Espírito Santo,1,0
2020-03-11,Sudeste,Minas Gerais,1,0
2020-03-11,Sudeste,Rio de Janeiro,13,0
2020-03-11,Sudeste,São Paulo,30,0
2020-03-11,Sul,Rio Grande do Sul,2,0
2020-03-12,Centro-Oeste,Distrito Federal,2,0
2020-03-12,Nordeste,Alagoas,1,0
2020-03-12,Nordeste,Bahia,2,0
2020-03-12,Nordeste,Pernambuco,2,0
2020-03-12,Sudeste,Espírito Santo,1,0
2020-03-12,Sudeste,Minas Gerais,1,0
2020-03-12,Sudeste,Rio de Janeiro,16,0
2020-03-12,Sudeste,São Paulo,42,0
2020-03-12,Sul,Paraná,6,0
2020-03-12,Sul,Rio Grande do Sul,4,0
2020-03-13,Centro-Oeste,Distrito Federal,2,0
2020-03-13,Centro-Oeste,Goiás,3,0
2020-03-13,Nordeste,Alagoas,1,0
2020-03-13,Nordeste,Bahia,2,0
2020-03-13,Nordeste,Pernambuco,2,0
2020-03-13,Nordeste,Rio Grande do Norte,1,0
2020-03-13,Sudeste,Espírito Santo,1,0
2020-03-13,Sudeste,Minas Gerais,2,0
2020-03-13,Sudeste,Rio de Janeiro,16,0
2020-03-13,Sudeste,São Paulo,56,0
2020-03-13,Sul,Paraná,6,0
2020-03-13,Sul,Rio Grande do Sul,4,0
2020-03-13,Sul,Santa Catarina,2,0
2020-03-14,Centro-Oeste,Distrito Federal,6,0
2020-03-14,Centro-Oeste,Goiás,3,0
2020-03-14,Nordeste,Alagoas,1,0
2020-03-14,Nordeste,Bahia,2,0
2020-03-14,Nordeste,Pernambuco,2,0
2020-03-14,Nordeste,Rio Grande do Norte,1,0
2020-03-14,Sudeste,Espírito Santo,1,0
2020-03-14,Sudeste,Minas Gerais,2,0
2020-03-14,Sudeste,Rio de Janeiro,22,0
2020-03-14,Sudeste,São Paulo,65,0
2020-03-14,Sul,Paraná,6,0
2020-03-14,Sul,Rio Grande do Sul,6,0
2020-03-14,Sul,Santa Catarina,4,0
2020-03-15,Centro-Oeste,Distrito Federal,8,0
2020-03-15,Centro-Oeste,Goiás,3,0
2020-03-15,Nordeste,Alagoas,1,0
2020-03-15,Nordeste,Bahia,2,0
2020-03-15,Nordeste,Pernambuco,2,0
2020-03-15,Nordeste,Rio Grande do Norte,1,0
2020-03-15,Nordeste,Sergipe,1,0
2020-03-15,Norte,Amazonas,1,0
2020-03-15,Sudeste,Espírito Santo,1,0
2020-03-15,Sudeste,Minas Gerais,2,0
2020-03-15,Sudeste,Rio de Janeiro,24,0
2020-03-15,Sudeste,São Paulo,136,0
2020-03-15,Sul,Paraná,6,0
2020-03-15,Sul,Rio Grande do Sul,6,0
2020-03-15,Sul,Santa Catarina,6,0
2020-03-16,Centro-Oeste,Distrito Federal,13,0
2020-03-16,Centro-Oeste,Goiás,3,0
2020-03-16,Centro-Oeste,Mato Grosso do Sul,2,0
2020-03-16,Nordeste,Alagoas,1,0
2020-03-16,Nordeste,Bahia,2,0
2020-03-16,Nordeste,Pernambuco,2,0
2020-03-16,Nordeste,Rio Grande do Norte,1,0
